GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0001682,tRNA 5'-leader removal,BP,1,6,1/1038,6/6466,0.166666667,0.650190137,TGAM01_v210954,0.747127675
GO:0006418,tRNA aminoacylation for protein translation,BP,4,32,4/1038,32/6466,0.125,0.778922763,TGAM01_v201735;TGAM01_v203089;TGAM01_v204393;TGAM01_v207906,0.839563729
GO:0000049,tRNA binding,MF,1,9,1/1038,9/6466,0.111111111,0.793188629,TGAM01_v200991,0.84473537
GO:0017150,tRNA dihydrouridine synthase activity,MF,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v210577,0.647903765
GO:0030488,tRNA methylation,BP,2,4,2/1038,4/6466,0.5,0.123465117,TGAM01_v204394;TGAM01_v207992,0.449154031
GO:0006400,tRNA modification,BP,1,5,1/1038,5/6466,0.2,0.583234091,TGAM01_v209289,0.709601478
GO:0008033,tRNA processing,BP,2,16,2/1038,16/6466,0.125,0.753440793,TGAM01_v200991;TGAM01_v210577,0.81773785
GO:0034227,tRNA thio-modification,BP,2,3,2/1038,3/6466,0.666666667,0.068995127,TGAM01_v200991;TGAM01_v206995,0.449154031
GO:0002949,tRNA threonylcarbamoyladenosine modification,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v200681,0.528145699
GO:0002143,tRNA wobble position uridine thiolation,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204126,0.449154031
GO:0002098,tRNA wobble uridine modification,BP,4,10,4/1038,10/6466,0.4,0.061856404,TGAM01_v200991;TGAM01_v205328;TGAM01_v206994;TGAM01_v209854,0.449154031
GO:0007021,tubulin complex assembly,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201650,0.528145699
GO:0005682,U5 snRNP,CC,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v205409,0.449154031
GO:0034477,U6 snRNA 3'-end processing,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202871,0.449154031
GO:0043130,ubiquitin binding,MF,1,12,1/1038,12/6466,0.083333333,0.877763517,TGAM01_v209243,0.908304258
GO:0061630,ubiquitin protein ligase activity,MF,1,14,1/1038,14/6466,0.071428571,0.913922957,TGAM01_v205969,0.936071601
GO:0006511,ubiquitin-dependent protein catabolic process,BP,6,32,6/1038,32/6466,0.1875,0.409815388,TGAM01_v200676;TGAM01_v201548;TGAM01_v204457;TGAM01_v205408;TGAM01_v209303;TGAM01_v209675,0.589752251
GO:0008641,ubiquitin-like modifier activating enzyme activity,MF,2,8,2/1038,8/6466,0.25,0.376112745,TGAM01_v202756;TGAM01_v204126,0.588877171
GO:0097027,ubiquitin-protein transferase activator activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v207922,0.528145699
GO:0004842,ubiquitin-protein transferase activity,MF,4,24,4/1038,24/6466,0.166666667,0.552725318,TGAM01_v205391;TGAM01_v205969;TGAM01_v207603;TGAM01_v209931,0.700060616
GO:0008108,UDP-glucose:hexose-1-phosphate uridylyltransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v208889,0.449154031
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v202303,0.588877171
GO:0051082,unfolded protein binding,MF,5,19,5/1038,19/6466,0.263157895,0.177664616,TGAM01_v201633;TGAM01_v203210;TGAM01_v203947;TGAM01_v206951;TGAM01_v210119,0.468708376
GO:0006636,unsaturated fatty acid biosynthetic process,BP,1,3,1/1038,3/6466,0.333333333,0.408473953,TGAM01_v208721,0.588877171
GO:0043419,urea catabolic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200169,0.449154031
GO:0009039,urease activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200169,0.449154031
GO:0035550,urease complex,CC,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v200169,0.449154031
GO:0004851,uroporphyrin-III C-methyltransferase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v204879,0.449154031
GO:0006780,uroporphyrinogen III biosynthetic process,BP,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209287,0.449154031
GO:0004852,uroporphyrinogen-III synthase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v209287,0.449154031
GO:0016471,vacuolar proton-transporting V-type ATPase complex,CC,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v202388,0.449154031
GO:0070072,vacuolar proton-transporting V-type ATPase complex assembly,BP,1,4,1/1038,4/6466,0.25,0.503476899,TGAM01_v206283,0.647903765
GO:0007034,vacuolar transport,BP,1,7,1/1038,7/6466,0.142857143,0.706397976,TGAM01_v205012,0.786737274
GO:0016192,vesicle-mediated transport,BP,12,49,12/1038,49/6466,0.244897959,0.082840192,TGAM01_v200452;TGAM01_v202304;TGAM01_v202769;TGAM01_v203070;TGAM01_v203358;TGAM01_v204991;TGAM01_v205470;TGAM01_v207825;TGAM01_v207834;TGAM01_v208457;TGAM01_v209243;TGAM01_v211148,0.449154031
GO:0042819,vitamin B6 biosynthetic process,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v204147,0.528145699
GO:0005247,voltage-gated chloride channel activity,MF,3,3,3/1038,3/6466,1,0.00412696,TGAM01_v204789;TGAM01_v205469;TGAM01_v206281,0.449154031
GO:0004854,xanthine dehydrogenase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210396,0.449154031
GO:0004855,xanthine oxidase activity,MF,1,1,1/1038,1/6466,1,0.160532014,TGAM01_v210396,0.449154031
GO:0008270,zinc ion binding,MF,84,536,84/1038,536/6466,0.156716418,0.618728265,TGAM01_v200082;TGAM01_v200478;TGAM01_v200575;TGAM01_v200590;TGAM01_v200652;TGAM01_v200745;TGAM01_v200920;TGAM01_v201029;TGAM01_v201136;TGAM01_v201279;TGAM01_v201457;TGAM01_v201636;TGAM01_v201916;TGAM01_v201936;TGAM01_v202027;TGAM01_v202030;TGAM01_v202239;TGAM01_v202263;TGAM01_v202301;TGAM01_v202309;TGAM01_v202356;TGAM01_v202757;TGAM01_v202917;TGAM01_v202920;TGAM01_v203556;TGAM01_v203816;TGAM01_v203822;TGAM01_v203970;TGAM01_v203971;TGAM01_v204045;TGAM01_v204047;TGAM01_v204313;TGAM01_v204319;TGAM01_v204321;TGAM01_v204456;TGAM01_v204568;TGAM01_v205081;TGAM01_v205563;TGAM01_v205589;TGAM01_v205802;TGAM01_v205945;TGAM01_v206026;TGAM01_v206412;TGAM01_v206950;TGAM01_v207015;TGAM01_v207022;TGAM01_v207056;TGAM01_v207454;TGAM01_v207608;TGAM01_v207762;TGAM01_v207778;TGAM01_v207839;TGAM01_v207975;TGAM01_v208083;TGAM01_v208085;TGAM01_v208092;TGAM01_v208147;TGAM01_v208242;TGAM01_v208508;TGAM01_v208511;TGAM01_v208512;TGAM01_v208513;TGAM01_v208538;TGAM01_v208570;TGAM01_v208591;TGAM01_v208751;TGAM01_v208862;TGAM01_v208889;TGAM01_v208970;TGAM01_v209018;TGAM01_v209444;TGAM01_v209473;TGAM01_v209613;TGAM01_v209713;TGAM01_v209790;TGAM01_v210118;TGAM01_v210137;TGAM01_v210357;TGAM01_v210384;TGAM01_v210394;TGAM01_v210395;TGAM01_v210751;TGAM01_v210799;TGAM01_v211150,0.743770654
GO:0071577,zinc ion transmembrane transport,BP,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201289,0.528145699
GO:0005385,zinc ion transmembrane transporter activity,MF,1,2,1/1038,2/6466,0.5,0.295314345,TGAM01_v201289,0.528145699
